('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         819132 function calls (794845 primitive calls) in 3.462 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2803    0.004    0.000    0.015    0.000 parser.py:345(check_for_whole_start_tag)
      329    0.004    0.000    0.228    0.001 __init__.py:330(_compile)
     6158    0.004    0.000    0.017    0.000 filter.py:721(match)
      318    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
      273    0.004    0.000    0.080    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      862    0.003    0.000    0.004    0.000 contextlib.py:136(__enter__)
        1    0.003    0.003    0.427    0.427 _client.py:1(<module>)
      252    0.003    0.000    1.786    0.007 http11.py:209(_receive_event)
     3111    0.003    0.000    0.012    0.000 filter.py:538(matches_tag)
     2003    0.003    0.000    0.005    0.000 __init__.py:91(_replace_charref)
    248/8    0.003    0.000    0.981    0.123 <frozen importlib._bootstrap>:911(_load_unlocked)
     8284    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    26/24    0.003    0.000    0.098    0.004 <frozen importlib._bootstrap_external>:1318(create_module)
       19    0.003    0.000    0.007    0.000 enum.py:1749(convert_class)
    13613    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     1015    0.003    0.000    0.005    0.000 _parser.py:311(_class_escape)
        3    0.003    0.001    0.004    0.001 cookiejar.py:949(set_ok)
     1473    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
        2    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
    278/8    0.003    0.000    0.984    0.123 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      325    0.003    0.000    0.011    0.000 css_parser.py:1094(selector_iter)
     5221    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
      301    0.002    0.000    0.225    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
      248    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1768    0.002    0.000    0.017    0.000 typing.py:1368(__setattr__)
     6204    0.002    0.000    0.011    0.000 __init__.py:122(unescape)
      295    0.002    0.000    1.764    0.006 sync.py:124(read)
     2669    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
     6674    0.002    0.000    0.002    0.000 element.py:2771(descendants)
     7089    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     3578    0.002    0.000    0.003    0.000 _parser.py:292(tell)
      318    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      862    0.002    0.000    0.002    0.000 contextlib.py:108(__init__)
     1018    0.002    0.000    0.006    0.000 filter.py:616(_attribute_match)
      271    0.002    0.000    0.022    0.000 typing.py:1423(__init__)
        1    0.002    0.002    0.002    0.002 __future__.py:1(<module>)
     5710    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
      759    0.002    0.000    0.003    0.000 _parser.py:448(_uniq)
      318    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      269    0.002    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
     7646    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
       50    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       30    0.002    0.000    1.882    0.063 __init__.py:1(<module>)
      547    0.002    0.000    0.013    0.000 _connection.py:426(next_event)
      105    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     2481    0.002    0.000    0.007    0.000 css_parser.py:307(match)
        2    0.002    0.001    0.002    0.001 _client.py:156(close)
  512/511    0.002    0.000    0.004    0.000 _readers.py:157(__call__)
      189    0.002    0.000    0.005    0.000 css_types.py:360(__init__)
      301    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
     2803    0.002    0.000    0.004    0.000 element.py:1820(is_empty_element)
    218/8    0.002    0.000    0.981    0.123 <frozen importlib._bootstrap_external>:1020(exec_module)
      701    0.002    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
     4280    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     5696    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
      436    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      318    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      200    0.002    0.000    0.221    0.001 _compiler.py:743(compile)
      244    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     2796    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
      275    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
     1039    0.001    0.000    0.003    0.000 _parser.py:171(__setitem__)
    10083    0.001    0.000    0.001    0.000 typing.py:2371(cast)
       24    0.001    0.000    0.018    0.001 dataclasses.py:929(_process_class)
       77    0.001    0.000    0.015    0.000 css_parser.py:462(parse_attribute_selector)
      128    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     2804    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      258    0.001    0.000    0.004    0.000 _connection.py:260(_process_event)
     3789    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       13    0.001    0.000    0.007    0.001 enum.py:894(_convert_)
     1673    0.001    0.000    0.003    0.000 filter.py:627(_match_attribute_value_helper)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
     1918    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2382    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
      421    0.001    0.000    0.001    0.000 _parser.py:264(getwhile)
     3224    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      308    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
     1428    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       14    0.001    0.000    0.008    0.001 __init__.py:358(namedtuple)
        1    0.001    0.001    0.001    0.001 utils.py:395(decode_params)
      218    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      547    0.001    0.000    0.007    0.000 _connection.py:398(_extract_next_receive_event)
     2718    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      770    0.001    0.000    0.002    0.000 _parser.py:371(_escape)
     2895    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      488    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        2    0.001    0.001    0.121    0.061 _models.py:1(<module>)
      863    0.001    0.000    0.001    0.000 {built-in method fromkeys}
