('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         806537 function calls (782076 primitive calls) in 3.383 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      265    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     6533    0.002    0.000    0.009    0.000 {built-in method builtins.next}
      273    0.002    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
     2669    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
       18    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     7392    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
  186/184    0.002    0.000    0.002    0.000 {method 'encode' of 'str' objects}
       64    0.002    0.000    0.006    0.000 _policybase.py:319(header_fetch_parse)
    170/5    0.002    0.000    0.658    0.132 <frozen importlib._bootstrap_external>:1020(exec_module)
      257    0.002    0.000    0.143    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
     1018    0.002    0.000    0.006    0.000 filter.py:616(_attribute_match)
       64    0.002    0.000    0.004    0.000 _policybase.py:289(_sanitize_header)
      340    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    172/1    0.002    0.000    3.383    3.383 {built-in method builtins.exec}
     4366    0.002    0.000    0.003    0.000 _parser.py:292(tell)
     6674    0.002    0.000    0.002    0.000 element.py:2771(descendants)
     6204    0.002    0.000    0.010    0.000 __init__.py:122(unescape)
     9242    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      914    0.002    0.000    0.003    0.000 _compiler.py:214(_compile_charset)
     5710    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     2803    0.002    0.000    0.002    0.000 element.py:1820(is_empty_element)
       63    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6239    0.002    0.000    0.002    0.000 _parser.py:112(__init__)
     6068    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       18    0.002    0.000    0.004    0.000 __init__.py:358(namedtuple)
    224/5    0.001    0.000    0.659    0.132 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3829    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      301    0.001    0.000    1.530    0.005 ssl.py:1289(recv_into)
      218    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       20    0.001    0.000    0.378    0.019 {method 'join' of 'bytes' objects}
      199    0.001    0.000    0.014    0.000 _compiler.py:514(_compile_info)
      199    0.001    0.000    0.204    0.001 _compiler.py:743(compile)
     2796    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
     3750    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       40    0.001    0.000    0.013    0.000 response.py:122(decompress)
      198    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      291    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
       22    0.001    0.000    1.552    0.071 __init__.py:1(<module>)
     9819    0.001    0.000    0.001    0.000 typing.py:2371(cast)
    198/5    0.001    0.000    0.658    0.132 <frozen importlib._bootstrap>:911(_load_unlocked)
      325    0.001    0.000    0.006    0.000 css_parser.py:1094(selector_iter)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      265    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
     4264    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     1673    0.001    0.000    0.003    0.000 filter.py:627(_match_attribute_value_helper)
   469/10    0.001    0.000    0.650    0.065 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      265    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
     3035    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
      170    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      950    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
     2562    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1058    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
     2804    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     3352    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      301    0.001    0.000    1.531    0.005 socket.py:706(readinto)
     4053    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     1379    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
      811    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
      194    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      340    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     2691    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     1008    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      199    0.001    0.000    0.118    0.001 _parser.py:970(parse)
       10    0.001    0.000    0.006    0.001 enum.py:894(_convert_)
    52/14    0.001    0.000    0.022    0.002 css_parser.py:911(parse_selectors)
     3261    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      336    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
      816    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
     1548    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      123    0.001    0.000    0.004    0.000 typing.py:1423(__init__)
      197    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
     5946    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     1100    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     1630    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1105    0.001    0.000    0.001    0.000 element.py:2168(get)
     2804    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       87    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
     2699    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1021    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      199    0.001    0.000    0.083    0.000 _compiler.py:576(_code)
      968    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     2803    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       77    0.001    0.000    0.008    0.000 css_parser.py:462(parse_attribute_selector)
       22    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      897    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
      943    0.001    0.000    0.001    0.000 typing.py:1294(_is_dunder)
     1018    0.001    0.000    0.001    0.000 filter.py:321(matches_tag)
      194    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
  198/194    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      265    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
       65    0.001    0.000    0.001    0.000 filter.py:378(__init__)
      336    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      134    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
      448    0.001    0.000    0.001    0.000 element.py:1881(_all_strings)
     2629    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      329    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      589    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
     1903    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      194    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     2599    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      199    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       50    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      301    0.001    0.000    1.528    0.005 ssl.py:1129(read)
        6    0.001    0.000    0.004    0.001 typing.py:2998(__new__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      314    0.000    0.000    0.001    0.000 enum.py:695(__call__)
       57    0.000    0.000    0.005    0.000 typing.py:753(Union)
      758    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      136    0.000    0.000    0.001    0.000 css_parser.py:359(__init__)
       40    0.000    0.000    0.376    0.009 response.py:1173(read_chunked)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
  225/183    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
       24    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        1    0.000    0.000    0.008    0.008 packages.py:1(<module>)
        7    0.000    0.000    0.002    0.000 feedparser.py:178(_call_parse)
      224    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1146    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      431    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      170    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      282    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      129    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
  136/131    0.000    0.000    0.004    0.000 css_parser.py:385(freeze)
      680    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
  712/655    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
  171/168    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       65    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      659    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1146    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      218    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      557    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      260    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      358    0.000    0.000    0.001    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.041    0.014 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
      428    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      303    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      301    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      126    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      222    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       27    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    2.727    2.727 financial.py:16(get_financial_data)
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      659    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      530    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      777    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       62    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       63    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
      224    0.000    0.000    0.002    0.000 element.py:524(get_text)
       22    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      280    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
       66    0.000    0.000    0.002    0.000 utils.py:47(_has_surrogates)
      186    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      313    0.000    0.000    0.210    0.001 __init__.py:287(compile)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      102    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
      314    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
       65    0.000    0.000    0.027    0.000 element.py:1079(_find_all)
      356    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       57    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       65    0.000    0.000    0.025    0.000 filter.py:163(find_all)
      186    0.000    0.000    0.010    0.000 _parser.py:97(closegroup)
      364    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      130    0.000    0.000    0.000    0.000 filter.py:224(__init__)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       57    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       49    0.000    0.000    0.003    0.000 typing.py:1634(__getitem__)
       39    0.000    0.000    0.362    0.009 response.py:1151(_handle_chunk)
    79/45    0.000    0.000    0.317    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      127    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      136    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      219    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      301    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      219    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      126    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      199    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        2    0.000    0.000    0.005    0.003 parser.py:41(parse)
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        1    0.000    0.000    0.013    0.013 css_types.py:1(<module>)
       69    0.000    0.000    1.170    0.017 {method 'readline' of '_io.BufferedReader' objects}
      132    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      265    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
      325    0.000    0.000    0.001    0.000 filter.py:490(_make_match_rules)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
      556    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      398    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      535    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.089    0.089 dammit.py:1(<module>)
      366    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
